,FL07-A,FL08-A,FL10-A,FL09-A,FL11-A,FL06-A,FL05-A,FL04-A,FL03-A,FL00-A,FL01-A,FL02-A,FL16-A,FL15-A,FL17-A,FL18-A,FL13-A,FL14-A,FL12-A,FL23-A,FL22-A,FL21-A,FL19-A,FL20-A,FL37-A,FL36-A,FL38-A,FL39-A,FL42-A,FL41-A,FL40-A,FL31-A,FL32-A,FL34-A,FL33-A,FL35-A,FL24-A,FL26-A,FL25-A,FL28-A,FL27-A,FL30-A,FL29-A,FL46-A,FL47-A,FL43-A,FL45-A,FL44-A,FL48-A,FL49-A,FL50-A
SBV515,0.005140584,0.00714524,0.011726527,0.024364578,0.036177527,0.383641703,0.205836342,0.078784243,0.035062282,0.013006555,0.002269526,5.25E-05,0.010151038,0.050646724,0.137463487,0.149642548,1,0.462189038,0.161601312,0.068881838,0.018093951,0.004229447,0.001031075,0.000420384,0.019491569,0.007091313,0.002105813,0.000923246,0.000299397,2.60E-05,5.37E-05,0.000399641,0.000534405,0.00063225,0.00042272,0.000125714,0.000503501,0.000260876,6.07E-05,0.000381699,0.000267573,-2.77E-05,-2.15E-05,-1.44E-05,1.34E-05,8.68E-05,8.40E-05,-0.000147724,1.90E-05,-0.00012611,-0.000169806
Spark Violet 538,0.009513457,0.015757036,0.023861457,0.021464572,0.023218969,0.127373873,0.275572358,0.217660243,0.184258487,0.105175374,0.026703036,0.001593536,0.010840307,0.016405703,0.04001238,0.077807116,0.517315241,1,0.691024264,0.566888611,0.22857693,0.092580364,0.027720071,0.011319985,0.004420628,0.004147476,0.002800005,0.001164535,0.000612389,-1.22E-05,-8.43E-06,0.000408419,0.001381755,0.002420285,0.002214767,0.001650127,0.00031208,-0.002610625,0.000130717,-0.000340521,-0.000524277,0.000117018,-2.12E-05,0.000108056,5.97E-05,-0.000128562,0.000263144,0.000451679,0.000265602,-6.32E-06,-4.43E-05
BV605,-0.003728774,0.008078199,0.006252002,0.000647427,-0.013174177,-0.020525554,-0.011411848,0.031082661,0.44398295,0.337896815,0.121542025,0.009256102,0.224940349,0.101969441,0.072470706,0.030384493,0.011164196,0.002353034,0.078615663,1,0.532745885,0.205336204,0.079024232,0.0411456,0.000894784,0.000975196,0.00455683,0.011001038,0.006421313,0.001898483,0.000326335,0.031452906,0.243489033,0.569423936,0.290656531,0.389706374,0.109181918,0.102698563,0.061482918,0.096699194,0.008634967,0.00344002,0.000100082,0.001428479,0.000343727,0.00010489,0.000327707,0.000139285,0.000126932,0.000126268,-9.10E-05
BV650,0.005826729,0.072572571,0.075184382,0.064955402,0.044583899,0.007919536,0.004968928,0.004206496,0.101305953,0.5636543,0.200494359,0.016414087,0.417752222,0.203779546,0.170185364,0.093204096,0.064612023,0.020024843,0.010910746,0.277533669,1,0.434202132,0.133913388,0.066396256,0.006239456,0.004544302,0.002528432,0.001963364,0.002731368,0.00094423,0.00021107,0.002987659,0.003954091,0.014783931,0.042469716,0.195289938,0.052844233,0.057978003,0.031300271,0.047373154,0.008346771,0.002426029,0.000121177,0.237529026,0.05271874,0.057768035,0.03076519,0.016887045,0.000468347,-4.74E-05,-7.20E-06
BV750,-0.010098267,0.004756233,0.004457681,-0.001114618,-0.018382075,-0.038284222,-0.018279587,-0.007027474,-0.000835888,0.004148265,0.312382071,0.191013985,0.286186483,0.132895579,0.088773412,0.036345971,0.006260179,-0.00337553,-0.002588558,4.95E-05,0.00149558,0.120097487,1,0.869818055,0.000738473,0.000951614,0.000922601,-0.000409976,0.000183369,0.003663219,0.008751481,6.68E-06,0.001328748,0.001848223,0.001274986,0.000405388,0.000201261,-0.002903919,0.001273777,0.036306143,0.004359234,0.001783117,0.00015947,-7.40E-05,0.001169496,0.025157295,0.187156928,0.118799415,0.003702509,0.000415718,0.00037226
BV786,0.010124062,0.019415322,0.018368305,0.008492713,-0.000176484,-0.008561945,-0.001570259,-0.004423016,0.000286815,-0.00555177,0.021925673,0.210970226,0.451009744,0.212626208,0.147303134,0.069244582,0.044901315,0.013935375,0.005174297,0.0032782,0.005420794,0.01207152,0.239409396,1,0.004399883,0.004782905,0.002957279,0.000942899,0.000937031,9.40E-05,0.002902008,0.001037852,0.001770931,0.00208483,0.002866579,0.001249749,0.000888575,-0.000226607,0.002262892,0.006107925,0.007367347,0.000833244,-4.31E-05,0.001156036,0.001225902,0.001154386,0.041678714,0.099422141,0.165504754,0.040498578,0.001779984
FITC,0.02105847,0.030396526,0.035792607,0.03344437,0.028125122,0.128802815,0.102305846,0.047031613,0.019848071,0.004958682,-0.001595859,-0.000654806,0.017434038,0.02348077,0.036880511,0.030828799,0.130139466,0.093471492,0.041934959,0.0203862,0.006056299,0.00156797,-0.000258877,-0.001408778,1,0.436345199,0.106092503,0.047483656,0.013102024,0.003104238,0.000552329,0.0004727,0.001046464,0.002103865,0.001020647,0.000914437,0.000209991,-0.002169135,0.000329506,-0.000155659,-0.000191304,0.000116884,-6.82E-05,0.000139519,8.05E-05,-6.37E-06,0.000385869,-0.000251784,5.16E-05,-7.80E-05,-0.000202339
RB545,-0.011703417,-0.019212395,-0.013821379,-0.022522415,-0.034203356,-0.03210375,0.271472072,0.126616528,0.071577944,0.026295,0.003821196,-0.000307398,-0.008774351,-0.008990369,-0.010900275,-0.011106618,-0.012983892,0.296334124,0.126189835,0.068763084,0.019949656,0.004254969,0.000685887,-0.000773352,0.376111615,1,0.281918639,0.160979284,0.050534388,0.01483419,0.003019218,0.025399927,0.026938033,0.027353584,0.014089863,0.010580333,0.00310178,0.001728837,0.000610979,0.000641515,-7.01E-06,0.00010724,1.86E-06,0.000312806,-0.000149785,7.21E-05,4.67E-05,0.000138158,0.000112029,-0.000101986,2.03E-05
PE,0.001135701,0.002028053,0.003696312,0.001831641,-0.000700536,-0.003997565,0.005990834,0.106462146,0.042767501,0.014217937,0.002551026,-0.000336037,0.001574323,0.002601169,0.004525425,0.003912214,0.002984515,0.009937982,0.119801563,0.046965918,0.012518283,0.003404876,0.000402708,-0.000107776,0.001394936,0.012354704,0.118144689,0.04995576,0.013655435,0.003925221,0.00060399,1,0.608912133,0.451458391,0.302489979,0.161445818,0.049019844,0.046796877,0.021017314,0.024836198,0.001967847,0.000603251,4.65E-05,2.46E-05,-2.48E-05,1.71E-06,6.95E-05,5.31E-05,-1.15E-05,-4.65E-05,2.76E-06
Spark YG 593,0.000747763,-0.000213261,7.66E-05,-0.000746825,-0.002857298,-0.004032213,-0.002184131,0.028533898,0.094746613,0.084280084,0.037813735,0.006345783,-0.000272032,4.82E-05,0.000312602,-0.000183503,-0.00178442,-0.002157233,0.000803828,0.0051351,0.003547006,0.001503213,0.000418677,0.000124304,-9.64E-05,2.70E-05,0.017141698,0.025413254,0.017676026,0.008028498,0.002671632,0.248704223,0.789502141,1,0.553513477,0.814916345,0.236109922,0.258509532,0.166573858,0.275777773,0.053498943,0.020260341,0.001110712,0.000835464,0.000236992,0.000188102,0.000134376,9.81E-05,1.44E-05,-2.19E-06,7.21E-07
PE-Dazzle 594,-0.001036332,-0.001016183,-0.000638039,-0.001464033,-0.003899677,-0.004320822,-0.001850793,0.007401627,0.105168116,0.048030765,0.01447327,0.0015388,-0.000478344,-0.000559615,-0.000508501,-0.000280287,-0.000556757,-0.000135608,0.00804934,0.106059884,0.032362349,0.013789259,0.004057639,0.00173137,0.000370468,0.001487479,0.018658802,0.131496567,0.046616598,0.014594758,0.003994483,0.086067562,0.213911489,1,0.866286848,0.532906047,0.195291733,0.168545603,0.078873914,0.125088129,0.014751493,0.004051821,0.000147785,0.001028683,0.000329255,0.000202172,0.000224227,0.000366471,-1.27E-05,1.22E-05,1.87E-05
Alexa Fluor 594,-0.022575199,-0.023576643,-0.01355617,-0.025411566,-0.048312358,-0.054246251,-0.032257137,-0.015116471,0.177292028,0.134085075,0.040090935,0.000815096,-0.008493354,-0.005895117,-0.004594605,-0.008555785,-0.016098536,-0.015245349,-0.002977333,0.230194772,0.118252961,0.050138381,0.010564365,0.004350647,-0.000100806,0.000415015,0.002347986,0.016010476,0.009157658,0.002430147,0.000573759,0.011023987,0.149533612,0.820341558,1,0.84311568,0.312911449,0.30522253,0.140295763,0.190110043,0.016623489,0.006124532,2.67E-05,0.029743951,0.005224825,0.004658666,0.002941797,0.002511479,-6.14E-05,-4.51E-05,-0.000123856
PE-Fire 640,-0.000914889,-0.001257842,-0.000227677,-0.001482654,-0.004442013,-0.005352997,-0.00301447,0.000495284,0.016966254,0.092467867,0.043773221,0.004438603,-0.000554051,0.000472432,0.001255417,0.000872218,8.50E-05,-0.000420841,0.001645431,0.019170087,0.071367903,0.035934288,0.01238466,0.006130931,0.000616045,0.001151435,0.003338985,0.019614881,0.086401544,0.042005044,0.011337991,0.023202198,0.016745615,0.047678342,0.224801162,1,0.262657103,0.30644042,0.213949528,0.294825799,0.050395926,0.015823354,0.000458786,0.141428669,0.03314176,0.041464064,0.026000883,0.01522293,-5.05E-06,-4.64E-05,4.11E-06
PE-Cy5,-0.000626414,-0.002178237,-0.001957462,-0.002765962,-0.003722844,-0.004060017,-0.002203647,-1.96E-05,-0.000475824,0.104838773,0.035872378,0.003959752,-0.00127376,-0.001005745,-0.001453954,-0.001117625,-0.001707251,-0.001155501,0.000450749,-5.21E-05,0.056260432,0.027486455,0.012724003,0.004730788,-3.49E-05,0.000225181,0.002397096,0.001133843,0.10770855,0.038808403,0.011528512,0.017213082,0.010080554,0.008405614,0.007868088,1,0.442748336,0.331135387,0.191041974,0.344598885,0.041366061,0.015003321,0.000569925,0.221290226,0.059452559,0.059714848,0.049746994,0.019568877,-7.19E-06,-9.91E-06,-1.03E-05
PE-Cy5.5,0.000272522,7.07E-06,0.000663221,-7.87E-05,-0.001578637,-0.003712381,-0.000859914,0.01061658,0.004231939,0.039056449,0.108838363,0.015872606,0.000419458,0.000969269,0.001619747,0.001514151,0.00051802,0.001053448,0.01320769,0.005488725,0.010814054,0.099232704,0.028952966,0.021312617,0.000847129,0.002415223,0.015655707,0.006978669,0.034990422,0.107454366,0.034895773,0.116713012,0.073092721,0.05547264,0.038440271,0.149956139,0.523196733,1,0.53632747,0.776221543,0.141322888,0.047817528,0.002593158,0.009559031,0.067086799,0.06421597,0.04002913,0.025583385,0.00015246,-4.02E-05,-3.33E-05
PE-Cy7,-0.00426699,-0.008376805,-0.007511478,-0.009390039,-0.012723008,-0.010952928,-0.001214998,0.00611633,0.017931076,0.020850081,0.015645582,0.087043816,-0.004198694,-0.004981131,-0.006768677,-0.006268124,-0.007591887,-0.003883883,0.000482699,0.002480915,0.001889619,0.000631594,0.023210737,0.106955153,-0.000259736,0.000651037,0.002404249,0.001230255,0.000459491,0.002928793,0.118798042,0.016715263,0.010496422,0.008336813,0.005343697,0.003336813,0.001220045,0.001270563,0.009829593,1,0.770907391,0.207559842,0.018786483,0.000106561,3.58E-05,0.000496735,0.035363177,0.085626362,0.27496576,0.088746064,0.018833366
