fluorophore,synonym1,synonym2,synonym3,synonym4,channel.Aurora,channel.NL,channel.ID7000,channel.s8,channel.opteon,channel.mosaic,channel.xenith,channel.A5SE,channel.cytostellar,excitation.laser,nominal.wavelength,is.viability,class
2-NDGB,,,,,B1-A,B1-A,488CH5-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,B2,Blue,540,NA,
7-AAD,7AAD,7-Aminoactinomycin D,,,YG-4,B7-A,561CH18-A,YG5 (655)-A,Y661-A,Y5-A,FL35-A,YG660-A,YG5,YG,647,TRUE,
Alexa Fluor 350,AF350,Alx350,Alexa 350,,UV6-A,V2-A,355CH2-A,UV4 (440)-A,UV440-A,U4-A,FL10-A,UV446-A,UV4,UV,441,NA,Small molecule
Alexa Fluor 405,AF405,Alx405,Alexa 405,,V2-A,V2-A,405CH1-A,V1 (420)-A,V424-A,V1-A,FL16-A,V427-A,V1,Violet,422,NA,Small molecule
Alexa Fluor 488,AF488,Alx488,Alexa 488,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,B2,Blue,520,NA,Small molecule
Alexa Fluor 514,AF514,Alexa 514,Alx514,,B3-A,B3-A,488CH8-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,B4,Blue,542,NA,Small molecule
Alexa Fluor 532,AF532,Alx532,Alexa 532,,B3-A,B3-A,488CH8-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,B4,Blue,553,NA,Small molecule
Alexa Fluor 546,AF546,Alx546,Alexa 546,,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,572,NA,Small molecule
Alexa Fluor 555,AF555,Alexa 555,Alx555,,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,570,NA,Small molecule
Alexa Fluor 561,AF561,Alx561,Alexa 561,,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,581,NA,Small molecule
Alexa Fluor 568,AF568,Alx568,Alexa 568,,YG3-A,V10-A,561CH13-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG3,YellowGreen,603,NA,Small molecule
Alexa Fluor 594,AF594,Alx594,Alexa 594,,YG3-A,V10-A,561CH14-A,YG4 (625)-A,Y618-A,Y4-A,FL33-A,YG602-A,YG4,YellowGreen,618,NA,Small molecule
Alexa Fluor 610,AF610,Alexa 610,Alx610,,YG3-A,B6-A,561CH14-A,YG4 (625)-A,Y618-A,Y4-A,FL33-A,YG602-A,YG4,YellowGreen,628,NA,Small molecule
Alexa Fluor 633,AF633,Alexa 633,Alx633,,R1-A,R1-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,R1,Red,647,NA,Small molecule
Alexa Fluor 647,AF647,Alx647,Alexa 647,,R2-A,R2-A,637CH19-A,R2 (675)-A,R681-A,R2-A,FL46-A,R675-A,R2,Red,671,NA,Small molecule
Alexa Fluor 660,AF660,Alx660,Alexa 660,,R3-A,R3-A,637CH21-A,R3 (700)-A,R700-A,R3-A,FL47-A,R675-A,R3,Red,691,NA,Small molecule
Alexa Fluor 680,AF680,Alx680,Alexa 680,,R4-A,R4-A,637CH22-A,R3 (700)-A,R700-A,R3-A,FL47-A,R680-A,R3,Red,704,NA,Small molecule
Alexa Fluor 700,AF700,Alx700,Alexa 700,,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R710-A,R4,Red,719,NA,Small molecule
Alexa Fluor 750,AF750,Alx750,Alexa 750,,R7-A,R7-A,637CH29-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,R6,Red,775,NA,Small molecule
Alexa Fluor 790,AF790,Alexa 790,Alx790,,R8-A,R8-A,637CH30-A,R7 (810)-A,R815-A,R7-A,FL48-A,R780-A,R7,Red,805,NA,Small molecule
AMCA,,,,,UV6-A,V2-A,355CH2-A,UV4 (440)-A,UV440-A,U4-A,FL10-A,UV446-A,UV4,UV,450,NA,
AmCyan,Amcyan,,,,V5-A,V5-A,405CH4-A,V5 (500)-A,V508-A,V5-A,FL13-A,V510-A,V5,Violet,498,NA,
APC,APC,Allophycocyanin,,,R1-A,R1-A,637CH18-A,R1 (655)-A,R681-A,R1-A,FL46-A,R660-A,R1,Red,660,NA,Protein
APC-Alexa Fluor 700,APC-Alexa Fluor 700,APC Alexa Fluor 700,APC-AF700,,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R710-A,R4,Red,720,NA,Protein tandem
APC-Alexa Fluor 750,APC-Alexa750,APC Alexa Fluor 750,APC-AF750,,R7-A,R7-A,637CH29-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,R6,Red,750,NA,Protein tandem
APC-Cy5,,,,,R2-A,R2-A,637CH18-A,R2 (675)-A,R681-A,R2-A,FL46-A,R675-A,R2,Red,670,NA,Protein tandem
APC-Cy5.5,APC Cy5.5,APCCy5.5,,,R3-A,R3-A,637CH21-A,R3 (700)-A,R700-A,R3-A,FL47-A,R710-A,R3,Red,700,NA,Protein tandem
APC-Cy7,APC Cy7,APCCy7,,,R7-A,R7-A,637CH29-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,R6,Red,774,NA,Protein tandem
APC-eFluor 780,APCe780,APC-eFluor780,APC-e780,APCeF780,R7-A,R7-A,637CH29-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,R6,Red,785,NA,Protein tandem
APC-Fire 750,APC Fire 750,APC-Fire750,,,R7-A,R7-A,637CH29-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,R6,Red,774,NA,Protein tandem
APC-Fire 810,APC Fire 810,APC-Fire810,,,R8-A,R8-A,637CH32-A,R7 (810)-A,R815-A,R7-A,FL48-A,R780-A,R7,Red,807,NA,Protein tandem
APC-H7,APC H7,APCH7,,,R7-A,R7-A,637CH30-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,R6,Red,785,NA,Protein tandem
APC-R700,APC R700,APCR700,,,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R710-A,R4,Red,705,NA,Protein tandem
APC-Vio750,APC Vio750,APCVio750,,,R7-A,R7-A,637CH27-A,R5 (750)-A,R784-A,R5-A,FL45-A,R780-A,R5,Red,750,NA,Protein tandem
APC-Vio770,APC Vio770,APCVio770,,,R7-A,R7-A,637CH28-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,R6,Red,775,NA,Protein tandem
Atto 390,Atto390,,,,UV6-A,V2-A,355CH2-A,UV4 (440)-A,UV440-A,U4-A,FL10-A,UV446-A,UV4,UV,479,NA,Small molecule
BB515,Brilliant Blue 515,,BB 515,,B1-A,B1-A,488CH5-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,B1,Blue,515,NA,SIRIGEN
BB630,Brilliant Blue 630,BB630-P,BB 630,BB630-P1,B6-A,B6-A,488CH14-A,B8 (625)-A,B618-A,B7-A,FL39-A,B602-A,B8,Blue,630,NA,SIRIGEN tandem
BB660,Brilliant Blue 660,BB660-P,BB 660,BB660-P2,B7-A,B7-A,488CH18-A,B9 (655)-A,B661-A,B8-A,FL42-A,B660-A,B9,Blue,660,NA,SIRIGEN tandem
BB700,Brilliant Blue 700,,BB 700,,B9-A,B9-A,488CH21-A,B11 (700)-A,B700-A,B10-A,FL41-A,B710-A,B11,Blue,700,NA,SIRIGEN tandem
BB755,Brilliant Blue 755,BB755-P,BB 755,,B12-A,B12-A,488CH27-A,B13 (750)-A,B757-A,B12-A,FL40-A,B750-A,B13,Blue,755,NA,SIRIGEN tandem
BB790,Brilliant Blue 790,BB790-P,BB 790,,B14-A,B14-A,488CH30-A,B14 (780)-A,B784-A,B13-A,FL40-A,B810-A,B14,Blue,790,NA,SIRIGEN tandem
BetaGel,BetaGel (abcam),,,,B1-A,B1-A,488CH5-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,B2,Blue,514,NA,
BFP,,,,,V3-A,V3-A,405CH2-A,V2 (440)-A,V440-A,V2-A,FL15-A,V450-A,V2,Violet,456,NA,Fluorescent Protein
BUV395,Brilliant UV395,Brilliant Ultraviolet 395,BUV 395,,UV2-A,V1-A,355CH1-A,UV3 (420)-A,UV380-A,U3-A,FL08-A,UV379-A,UV2,UV,399,NA,SIRIGEN
BUV496,Brilliant UV496,Brilliant Ultraviolet 496,BUV 496,,UV7-A,V5-A,355CH5-A,UV7 (500)-A,UV508-A,U7-A,FL06-A,UV515-A,UV7,UV,496,NA,SIRIGEN
BUV563,Brilliant UV563,Brilliant Ultraviolet 563,BUV 563,,UV9-A,B4-A,355CH11-A,UV11 (575)-A,UV582-A,U9-A,FL04-A,UV585-A,UV11,UV,563,NA,SIRIGEN tandem
BUV615,Brilliant UV615,Brilliant Ultraviolet 615,BUV 615,BUV615-P,UV10-A,V10-A,355CH14-A,UV13 (605)-A,UV618-A,U10-A,FL03-A,UV610-A,YG4,UV,615,NA,SIRIGEN tandem
BUV661,Brilliant UV661,Brilliant Ultraviolet 661,BUV 661,,UV11-A,R2-A,355CH18-A,UV15 (655)-A,UV661-A,U11-A,FL00-A,UV660-A,UV15,UV,661,NA,SIRIGEN tandem
BUV737,Brilliant UV737,Brilliant Ultraviolet 737,BUV 737,,UV14-A,R5-A,355CH25-A,UV18 (725)-A,UV735-A,U14-A,FL01-A,UV736-A,UV18,UV,737,NA,SIRIGEN tandem
BUV805,Brilliant UV805,Brilliant Ultraviolet 805,BUV 805,,UV16-A,R8-A,355CH31-A,UV21 (810)-A,UV815-A,U17-A,FL02-A,UV809-A,UV21,UV,805,NA,SIRIGEN tandem
BV421,Brilliant Violet 421,B421,BV 421,,V1-A,V1-A,405CH1-A,V1 (420)-A,V424-A,V1-A,FL16-A,V427-A,V1,Violet,423,NA,SIRIGEN
BV480,Brilliant Violet 480,B480,BV 480,,V5-A,V5-A,405CH4-A,V4 (475)-A,V469-A,V4-A,FL18-A,V470-A,V4,Violet,478,NA,SIRIGEN
BV510,Brilliant Violet 510,B510,BV 510,,V7-A,V7-A,405CH7-A,V6 (515)-A,V508-A,V5-A,FL13-A,V510-A,V6,Violet,510,NA,SIRIGEN
BV570,Brilliant Violet 570,B570,BV 570,,V8-A,V8-A,405CH11-A,V9 (575)-A,V582-A,V8-A,FL12-A,V576-A,V9,Violet,570,NA,SIRIGEN tandem
BV605,Brilliant Violet 605,B605,BV 605,,V10-A,V10-A,405CH13-A,V11 (605)-A,V600-A,V9-A,FL23-A,V615-A,V11,Violet,605,NA,SIRIGEN tandem
BV650,Brilliant Violet 650,B650,BV 650,,V11-A,V11-A,405CH18-A,V13 (655)-A,V661-A,V11-A,FL22-A,V660-A,V13,Violet,650,NA,SIRIGEN tandem
BV711,Brilliant Violet 711,B711,BV 711,,V13-A,V13-A,405CH23-A,V15 (700)-A,V717-A,V13-A,FL21-A,V710-A,V15,Violet,711,NA,SIRIGEN tandem
BV750,Brilliant Violet 750,B750,BV 750,,V14-A,V14-A,405CH26-A,V17 (750)-A,V757-A,V15-A,FL19-A,V750-A,V17,Violet,750,NA,SIRIGEN tandem
BV785,Brilliant Violet 785,B785,BV 785,,V15-A,V15-A,405CH30-A,V18 (780)-A,V784-A,V17-A,FL20-A,V785-A,V18,Violet,785,NA,SIRIGEN tandem
BV786,Brilliant Violet 786,B786,BV 786,,V15-A,V15-A,405CH30-A,V18 (780)-A,V784-A,V17-A,FL20-A,V785-A,V18,Violet,786,NA,SIRIGEN tandem
BYG584,BYG584-P,,,,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,583,NA,SIRIGEN
CellROX Green,,,,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,B2,Blue,520,NA,
CellROX Orange,,,,,YG2-A,B5-A,561CH12-A,YG2 (590)-A,Y600-A,Y2-A,FL32-A,YG602-A,YG2,YellowGreen,565,NA,
CellROX Red,,,,,R1-A,R1-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,R1,Red,665,NA,
CellTrace Blue,Cell Trace Blue,CTBlue,CellTraceBlue,,UV7-A,V3-A,355CH5-A,UV7 (500)-A,UV508-A,U7-A,FL06-A,UV515-A,UV7,UV,445,NA,
CellTrace Calcein AM,Calcein AM,Cell Trace Calcein,CalceinAM,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,B2,Blue,517,NA,
CellTrace Calcein Blue,Cell Trace Calcein Blue,Calcein Blue,,,UV6-A,V2-A,355CH2-A,UV4 (440)-A,UV440-A,U4-A,FL10-A,UV446-A,UV4,UV,445,NA,
CellTrace CFSE,CFSE,Cell Trace CFSE,Carboxyfluorescein succinimidyl ester,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,B2,Blue,521,NA,
CellTrace Far Red,Cell Trace Far Red,CTFR,CellTraceFarRed,,R2-A,R2-A,637CH18-A,R2 (675)-A,R681-A,R2-A,FL46-A,R675-A,R2,Red,667,NA,
CellTrace Oregon Green,Cell Trace Oregon Green,CTOG,,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,B2,Blue,517,NA,
CellTrace Red,Cell Trace Red,CTRed,CellTraceRed,,YG3-A,B6-A,561CH14-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG3,YellowGreen,601,NA,
CellTrace Violet,Cell Trace Violet,CTV,CTViolet,,V3-A,V3-A,405CH2-A,V3 (460)-A,V455-A,V3-A,FL17-A,V450-A,V3,Violet,451,NA,
CellTrace Yellow,Cell Trace Yellow,CTY,CellTraceYellow,,B3-A,B3-A,488CH8-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,B4,Blue,547,NA,
CellTracker Deep Red,,,,,R1-A,R1-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,R1,Red,650,NA,
CF350,,,,,UV6-A,V2-A,355CH2-A,UV5 (460)-A,UV455-A,U5-A,FL09-A,UV446-A,UV5,UV,448,NA,Small molecule
CF405L,,,,,V8-A,V8-A,405CH8-A,V8 (545)-A,V543-A,V7-A,FL14-A,V540-A,V8,Violet,547,NA,Small molecule
CF405M,,,,,V3-A,V3-A,405CH2-A,V3 (460)-A,V455-A,V3-A,FL17-A,V450-A,V3,Violet,452,NA,Small molecule
CF405S,,,,,V2-A,V2-A,405CH1-A,V2 (440)-A,V440-A,V2-A,FL15-A,V427-A,V2,Violet,431,NA,Small molecule
CF430,,,,,V5-A,V5-A,405CH4-A,V5 (500)-A,V508-A,V5-A,FL13-A,V510-A,V5,Violet,498,NA,Small molecule
CF440,,,,,V7-A,V7-A,405CH5-A,V6 (515)-A,V525-A,V5-A,FL13-A,V510-A,V6,Violet,515,NA,Small molecule
CF450,,,,,B1-A,B1-A,488CH7-A,B3 (530)-A,B543-A,B2-A,FL37-A,B510-A,B3,Blue,538,NA,Small molecule
CF488A,CF488 A,,,,B1-A,B1-A,488CH5-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,B2,Blue,515,NA,Small molecule
CF503R,,,,,B2-A,B2-A,488CH6-A,B3 (530)-A,B525-A,B2-A,FL37-A,B537-A,B3,Blue,532,NA,Small molecule
CF514,,,,,B3-A,B3-A,488CH8-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,B4,Blue,548,NA,Small molecule
CF532,,,,,B3-A,B3-A,488CH9-A,B4 (545)-A,B582-A,B3-A,FL36-A,B537-A,B4,Blue,558,NA,Small molecule
CF543,,,,,YG1-A,YG1-A,488CH9-A,B5 (575)-A,B582-A,B4-A,FL38-A,YG585-A,B5,Blue,560,NA,Small molecule
CF550R,,,,,YG1-A,YG1-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YG,577,NA,Small molecule
CF555,,,,,YG1-A,YG1-A,561CH10-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YG,565,NA,Small molecule
CF568,,,,,YG1-A,YG1-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YG,583,NA,Small molecule
CF570,,,,,YG1-A,YG1-A,561CH12-A,YG2 (590)-A,Y600-A,Y2-A,FL32-A,YG585-A,YG2,YG,591,NA,Small molecule
CF583,,,,,YG2-A,YG2-A,561CH13-A,YG3 (605)-A,Y600-A,Y3-A,FL34-A,YG602-A,YG3,YG,606,NA,Small molecule
CF594,,,,,YG3-A,YG3-A,561CH14-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG3,YG,614,NA,Small molecule
CF620R,,,,,R1-A,R1-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,R1,Red,639,NA,Small molecule
CF633,,,,,R1-A,R1-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,R1,Red,650,NA,Small molecule
CF640R,,,,,R2-A,R2-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,R1,Red,662,NA,Small molecule
CF647,CF647Plus,CF647 Plus,,,R2-A,R2-A,637CH18-A,R2 (675)-A,R661-A,R2-A,FL46-A,R675-A,R2,Red,668,NA,Small molecule
CF660C,,,,,R3-A,R3-A,637CH20-A,R2 (675)-A,R681-A,R2-A,FL46-A,R680-A,R2,Red,685,NA,Small molecule
CF660R,,,,,R3-A,R3-A,637CH20-A,R2 (675)-A,R681-A,R2-A,FL46-A,R680-A,R2,Red,682,NA,Small molecule
CF680,,,,,R4-A,R4-A,637CH21-A,R3 (700)-A,R700-A,R3-A,FL47-A,R710-A,R3,Red,698,NA,Small molecule
CF680R,,,,,R4-A,R4-A,637CH21-A,R3 (700)-A,R700-A,R3-A,FL47-A,R710-A,R3,Red,701,NA,Small molecule
CF700,,,,,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R730-A,R4,Red,720,NA,Small molecule
CF710,,,,,R5-A,R5-A,637CH24-A,R4 (725)-A,R735-A,R4-A,FL43-A,R730-A,R4,Red,736,NA,Small molecule
CF725,,,,,R6-A,R6-A,637CH26-A,R5 (750)-A,R757-A,R5-A,FL45-A,R730-A,R5,Red,750,NA,Small molecule
CF740,,,,,R7-A,R7-A,637CH27-A,R5 (750)-A,R757-A,R5-A,FL45-A,R730-A,R5,Red,767,NA,Small molecule
CF750,,,,,R7-A,R7-A,637CH28-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,R6,Red,777,NA,Small molecule
CF770,,,,,R8-A,R8-A,637CH30-A,R7 (810)-A,R784-A,R7-A,FL48-A,R780-A,R7,Red,797,NA,Small molecule
CF790,,,,,R8-A,R8-A,637CH31-A,R7 (810)-A,R815-A,R7-A,FL48-A,R780-A,R7,Red,806,NA,Small molecule
CF800,,,,,V16-A,V16-A,405CH32-A,V19 (810)-A,V815-A,V18-A,FL20-A,V845-A,V19,Violet,816,NA,Small molecule
cFluor B513,cFluorB513,cfluor B 513,,,B2-A,B2-A,488CH6-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,B2,Blue,513,NA,
cFluor B515,cFluorB515,cfluor B 515,,,B1-A,B1-A,488CH5-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,B2,Blue,515,NA,
cFluor B520,cFluorB520,cfluor B 520,,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,B2,Blue,520,NA,
cFluor B532,cFluorB532,cfluor B 532,,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,B2,Blue,532,NA,
cFluor B545,cFluorB545,cfluor B 545,,,B3-A,B3-A,488CH8-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,B4,Blue,545,NA,
cFluor B548,cFluorB548,cfluor B 548,,,B3-A,B3-A,488CH8-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,B4,Blue,548,NA,
cFluor B610,cFluorB610,cfluor B 610,,,B6-A,B6-A,488CH14-A,B7 (605)-A,B618-A,B6-A,FL39-A,B602-A,B7,Blue,610,NA,
cFluor B660,cFluorB660,cfluor B 660,,,B7-A,B7-A,488CH18-A,B9 (655)-A,B661-A,B8-A,FL42-A,B660-A,B9,Blue,660,NA,
cFluor B675,cFluorB675,cfluor B 675,,,B8-A,B8-A,488CH19-A,B10 (675)-A,B661-A,B9-A,FL42-A,B675-A,B10,Blue,675,NA,
cFluor B690,cFluorB690,cfluor B 690,,,B9-A,B9-A,488CH21-A,B11 (700)-A,B700-A,B10-A,FL41-A,B710-A,B11,Blue,690,NA,
cFluor B710,cFluorB710,cfluor B 710,,,B10-A,B10-A,488CH23-A,B11 (700)-A,B717-A,B10-A,FL41-A,B710-A,B11,Blue,710,NA,
cFluor B760,cFluorB760,cfluor B 760,,,B13-A,B13-A,488CH27-A,B13 (750)-A,B757-A,B12-A,FL40-A,B750-A,B13,Blue,760,NA,
cFluor BYG575,cFluorBYG575,cfluor BYG 575,,BYG575,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,575,NA,
cFluor BYG610,cFluorBYG610,cfluor BYG 610,,BYG610,YG3-A,B6-A,561CH14-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG3,YellowGreen,610,NA,
cFluor BYG667,cFluorBYG667,cfluor BYG 667,,BYG667,YG5-A,B8-A,561CH19-A,YG5 (655)-A,Y661-A,Y5-A,FL35-A,YG670-A,YG5,YellowGreen,667,NA,
cFluor BYG710,cFluorBYG710,cfluor BYG 710,,BYG710,YG7-A,B9-A,561CH22-A,YG7 (700)-A,Y700-A,Y6-A,FL26-A,YG695-A,YG7,YellowGreen,710,NA,
cFluor BYG750,cFluorBYG750,cfluor BYG 750,,BYG750,YG9-A,B13-A,561CH29-A,YG10 (780)-A,Y784-A,Y9-A,FL28-A,YG780-A,YG10,YellowGreen,750,NA,
cFluor BYG781,cFluorBYG781,cfluor BYG 781,,BYG781,YG9-A,B13-A,561CH29-A,YG10 (780)-A,Y784-A,Y9-A,FL28-A,YG780-A,YG10,YellowGreen,781,NA,
cFluor R659,cFluorR659,cfluor R 659,,R659,R1-A,R1-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,R1,Red,659,NA,
cFluor R668,cFluorR668,cfluor R 668,,R668,R2-A,R2-A,637CH18-A,R2 (675)-A,R681-A,R2-A,FL46-A,R675-A,R2,Red,668,NA,
cFluor R685,cFluorR685,cfluor R 685,,R685,R3-A,R3-A,637CH20-A,R3 (700)-A,R700-A,R3-A,FL47-A,R680-A,R3,Red,685,NA,
cFluor R720,cFluorR720,cfluor R 720,c Fluor R720,R720,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R710-A,R4,Red,720,NA,
cFluor R775,cFluorR775,cfluor R 775,,R775,R7-A,R7-A,637CH28-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,R6,Red,775,NA,
cFluor R780,cFluorR780,cfluor R 780,,R780,R7-A,R7-A,637CH29-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,R6,Red,780,NA,
cFluor R840,cFluorR840,cfluor R 840,,R840,R8-A,R8-A,637CH32-A,R7 (810)-A,R815-A,R7-A,FL48-A,R780-A,R7,Red,840,NA,
cFluor UV388,cFluorUV388,cfluor UV 388,,UV388,UV1-A,V1-A,355CH1-A,UV1 (375)-A,UV380-A,U1-A,FL07-A,UV379-A,UV1,UV,388,NA,
cFluor UV450,cFluorUV450,cfluor UV 450,,UV450,UV6-A,V2-A,355CH2-A,UV4 (440)-A,UV440-A,U4-A,FL10-A,UV446-A,UV4,UV,450,NA,
cFluor UV610,cFluorUV610,cfluor UV 610,,UV610,UV10-A,V10-A,355CH14-A,UV13 (605)-A,UV618-A,U10-A,FL03-A,UV610-A,UV13,UV,610,NA,
cFluor V420,cFluorV420,cfluor V 420,,V420,V2-A,V2-A,405CH1-A,V2 (440)-A,V440-A,V2-A,FL15-A,V427-A,V2,Violet,420,NA,
cFluor V450,cFluorV450,cfluor V 450,,,V3-A,V3-A,405CH2-A,V2 (440)-A,V440-A,V2-A,FL15-A,V450-A,V2,Violet,450,NA,
cFluor V500,cFluorV500,cfluor V 500,,,V7-A,V7-A,405CH4-A,V5 (500)-A,V508-A,V5-A,FL13-A,V510-A,V5,Violet,500,NA,
cFluor V505,cFluorV505,cfluor V 505,,,V7-A,V7-A,405CH4-A,V6 (515)-A,V508-A,V5-A,FL13-A,V510-A,V6,Violet,505,NA,
cFluor V610,cFluorV610,cfluor V 610,,,V10-A,V10-A,405CH13-A,V11 (605)-A,V600-A,V9-A,FL23-A,V615-A,V11,Violet,610,NA,
cFluor V650,cFluorV650,cfluor V 650,,V650,V11-A,V11-A,405CH18-A,V13 (655)-A,V661-A,V11-A,FL22-A,V660-A,V13,Violet,650,NA,
cFluor V710,cFluorV710,cfluor V 710,,V710,V13-A,V13-A,405CH23-A,V15 (700)-A,V717-A,V13-A,FL21-A,V710-A,V15,Violet,710,NA,
cFluor V785,cFluorV785,cfluor V 785,,V785,V15-A,V15-A,405CH30-A,V18 (780)-A,V784-A,V17-A,FL20-A,V785-A,V18,Violet,785,NA,
cFluor YG580,cFluorYG580,cfluor YG 580,,YG580,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,580,NA,
cFluor YG584,cFluorYG584,cfluor YG 584,,YG584,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,584,NA,
cFluor YG600,cFluorYG600,cfluor YG 600,,YG600,YG3-A,B6-A,561CH14-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG3,YellowGreen,600,NA,
cFluor YG610,cFluorYG610,cfluor YG 610,,YG610,YG3-A,B6-A,561CH13-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG3,YellowGreen,610,NA,
cFluor YG667,cFluorYG667,cfluor YG 667,,YG667,YG5-A,B8-A,561CH19-A,YG5 (655)-A,Y661-A,Y5-A,FL35-A,YG670-A,YG5,YellowGreen,667,NA,
cFluor YG720,cFluorYG720,cfluor YG 720,,YG720,YG7-A,V13-A,561CH23-A,YG8 (725)-A,Y717-A,Y7-A,FL25-A,YG730-A,YG8,YellowGreen,720,NA,
cFluor YG780,cFluorYG780,cfluor YG 780,,YG780,YG9-A,B13-A,561CH29-A,YG10 (780)-A,Y784-A,Y9-A,FL28-A,YG780-A,YG10,YellowGreen,780,NA,
CL405,CoraLite405,CoraLite 405,CoraLite Plus 405,,V2-A,V2-A,405CH1-A,V2 (440)-A,V440-A,V2-A,FL15-A,V427-A,V2,Violet,431,NA,Small molecule
CL488,CoraLite488,CoraLite 488,CoraLite Plus 488,,B1-A,B1-A,488CH5-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,B2,Blue,515,NA,Small molecule
CL555,CoraLite555,CoraLite 555,CoraLite Plus 555,,YG2-A,B5-A,561CH12-A,YG2 (590)-A,Y600-A,Y2-A,FL32-A,YG602-A,YG2,YellowGreen,565,NA,Small molecule
CL594,CoraLite594,CoraLite 594,CoraLite Plus 594,,YG3-A,B6-A,561CH14-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG3,YellowGreen,615,NA,Small molecule
