fluorophore,synonym1,synonym2,synonym3,synonym4,channel.Aurora,channel.NL,channel.ID7000,channel.s8,channel.opteon,channel.mosaic,channel.xenith,channel.A5SE,channel.cytostellar,excitation.laser,nominal.wavelength,is.viability,class
MultiDot 420,MD420,,,,V2-A,V2-A,405CH1-A,V2 (440)-A,V440-A,V2-A,FL15-A,V427-A,V2,Violet,420,NA,MultiDot
MultiDot 440,MD440,,,,V2-A,V2-A,405CH1-A,V2 (440)-A,V440-A,V2-A,FL15-A,V427-A,V2,Violet,440,NA,MultiDot
MultiDot 520,MD520,,,,V7-A,V7-A,405CH4-A,V6 (515)-A,V508-A,V5-A,FL13-A,V510-A,V6,Violet,520,NA,MultiDot
MultiDot 580,MD580,,,,V9-A,V9-A,355CH11-A,V10 (590)-A,V582-A,V8-A,FL23-A,V576-A,V10,Violet,580,NA,MultiDot
MultiDot 640,MD640,,,,V11-A,V11-A,405CH18-A,V13 (655)-A,V661-A,V11-A,FL22-A,V660-A,V13,Violet,640,NA,MultiDot
NovaFluor Blue 510,NB510,NFB510,Nova Blue 510,,B1-A,B1-A,488CH5-A,B1 (500)-A,B508-A,B1-A,FL37-A,B510-A,B1,Blue,510,NA,Nova Fluor
NovaFluor Blue 530,NB530,NFB530,Nova Blue 530,,B2-A,B2-A,488CH7-A,B3 (530)-A,B525-A,B2-A,FL37-A,B537-A,B3,Blue,530,NA,Nova Fluor
NovaFluor Blue 555,NB555,NFB555,Nova Blue 555,,B3-A,B3-A,488CH9-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,B4,Blue,555,NA,Nova Fluor
NovaFluor Blue 585,NB585,NFB585,Nova Blue 585,,B4-A,B4-A,488CH11-A,B6 (590)-A,B582-A,B5-A,FL38-A,B576-A,B6,Blue,585,NA,Nova Fluor
NovaFluor Blue 610-30S,NB610,NFB610,Nova Blue 610,NovaFluor Blue 610,B6-A,B6-A,488CH14-A,B7 (605)-A,B618-A,B6-A,FL39-A,B602-A,B7,Blue,610,NA,Nova Fluor
NovaFluor Blue 610-70S,NB610-70S,NFB610-70S,Nova Blue 610-70S,,B6-A,B6-A,488CH14-A,B7 (605)-A,B618-A,B6-A,FL39-A,B602-A,B7,Blue,610,NA,Nova Fluor
NovaFluor Blue 660-120S,NB660,NFB660,Nova Blue 660,NovaFluor Blue 660,B7-A,B7-A,488CH18-A,B9 (655)-A,B661-A,B8-A,FL42-A,B660-A,B9,Blue,660,NA,Nova Fluor
NovaFluor Blue 660-40S,NB660-40S,NFB660-40S,Nova Blue 660-40S,,B7-A,B7-A,488CH18-A,B9 (655)-A,B661-A,B8-A,FL42-A,B660-A,B9,Blue,660,NA,Nova Fluor
NovaFluor Blue 690,NB690,NFB690,Nova Blue 690,,B9-A,B9-A,488CH20-A,B11 (700)-A,B681-A,B10-A,FL41-A,B675-A,B11,Blue,690,NA,Nova Fluor
NovaFluor Blue 725,NB725,NFB725,Nova Blue 725,,B10-A,B10-A,488CH24-A,B12 (725)-A,B717-A,B11-A,FL41-A,B710-A,B12,Blue,725,NA,Nova Fluor
NovaFluor Blue 760,NB760,NFB760,Nova Blue 760,,B13-A,B13-A,488CH27-A,B13 (750)-A,B757-A,B12-A,FL40-A,B750-A,B13,Blue,760,NA,Nova Fluor
NovaFluor Blue 800,NB800,NFB800,Nova Blue 800,,B14-A,B14-A,488CH30-A,B15 (810)-A,B815-A,B14-A,FL40-A,B810-A,B15,Blue,800,NA,Nova Fluor
NovaFluor Red 660,NR660,NFR660,Nova Red 660,,R2-A,R2-A,637CH18-A,R2 (675)-A,R681-A,R2-A,FL46-A,R660-A,R2,Red,660,NA,Nova Fluor
NovaFluor Red 685,NR685,NFR685,Nova Red 685,,R3-A,R3-A,637CH20-A,R3 (700)-A,R700-A,R3-A,FL47-A,R680-A,R3,Red,685,NA,Nova Fluor
